"caseid","weight","wave","state","district","n7ay23","n7by23","n7cy23","n7dy23","n7ey23","n7fy23","n7gy23","n7hy23","n7iy23","n7ky23","n7ly23","urban","gender","age","caste","n7ay23_recode","n7by23_recode","n7cy23_recode","n7dy23_recode","n7ey23_recode","n7fy23_recode","n7gy23_recode","n7hy23_recode","n7iy23_recode","n7ky23_recode","n7ly23_recode","state_district_survey"
16066,0.94061243444,2024,"West Bengal","Howrah","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Rural","Female","18-29","Other Castes",1,1,1,1,1,1,1,1,0,0,1,"West Bengal, Howrah"
16067,0.9506189497,2024,"Bihar","Paschim Champaran","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Rural","Male","18-29","Other Castes",0,1,1,1,0,1,1,1,1,0,0,"Bihar, Paschim Champaran"
16068,0.64041697664,2024,"Bihar","Begusarai","Very worried","Very worried","Very worried","Very worried","Very worried","Don't know","Very worried","Very worried","Very worried","Don't know","Very worried","Rural","Male","30-44","Other Castes",1,1,1,1,1,0,1,1,1,0,1,"Bihar, Begusarai"
16069,1.86121183836,2024,"Karnataka","Chikkamagaluru","Moderately worried","Moderately worried","Not very worried","Moderately worried","Not at all worried","Very worried","Not at all worried","Not very worried","Moderately worried","Moderately worried","Moderately worried","Rural","Female","45+","Other Castes",0,0,0,0,0,1,0,0,0,0,0,"Karnataka, Chikkamagaluru"
16070,0.44028667144,2024,"Rajasthan","Dausa","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Male","18-29","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Rajasthan, Dausa"
16071,0.71046258346,2024,"West Bengal","Pashchim Medinipur","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Not at all worried","Not very worried","Not very worried","Moderately worried","Moderately worried","Moderately worried","Not very worried","Rural","Female","30-44","Other Castes",0,0,0,0,0,0,0,0,0,0,0,"West Bengal, Pashchim Medinipur"
16072,0.92059940392,2024,"Uttar Pradesh","Bareilly","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Not very worried","Very worried","Urban","Male","30-44","Other Castes",1,1,1,1,1,1,1,0,1,0,1,"Uttar Pradesh, Bareilly"
16074,0.94061243444,2024,"Bihar","Araria","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Very worried","Not very worried","Moderately worried","Very worried","Moderately worried","Rural","Male","18-29","Other Castes",0,1,0,0,0,1,1,0,0,1,0,"Bihar, Araria"
16077,0.97063198022,2024,"Tamil Nadu","Sivaganga","Not at all worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Rural","Male","45+","Scheduled Castes/Tribes",0,1,0,0,0,0,0,1,0,0,0,"Tamil Nadu, Sivaganga"
16078,1.67108804842,2024,"West Bengal","Nadia","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Rural","Female","18-29","Other Castes",1,1,1,1,0,1,1,0,1,1,1,"West Bengal, Nadia"
16079,1.93125744518,2024,"West Bengal","North 24-Parganas","Very worried","Very worried","Very worried","Moderately worried","Very worried","Not very worried","Very worried","Not very worried","Very worried","Very worried","Very worried","Rural","Female","18-29","Other Castes",1,1,1,0,1,0,1,0,1,1,1,"West Bengal, North 24-Parganas"
16080,0.99064501074,2024,"Tamil Nadu","Coimbatore","Very worried","Very worried","Not at all worried","Refused","Not very worried","Not at all worried","Not at all worried","Not at all worried","Very worried","Moderately worried","Not at all worried","Rural","Female","45+","Scheduled Castes/Tribes",1,1,0,0,0,0,0,0,1,0,0,"Tamil Nadu, Coimbatore"
16082,0.83054076658,2024,"Uttar Pradesh","Hamirpur","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Very worried","Moderately worried","Rural","Male","30-44","Other Castes",0,0,0,0,0,0,0,0,1,1,0,"Uttar Pradesh, Hamirpur"
16083,0.59038440034,2024,"Jharkhand","Deoghar","Not at all worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Not at all worried","Moderately worried","Very worried","Not very worried","Very worried","Not at all worried","Rural","Male","30-44","Other Castes",0,0,0,1,0,0,0,1,0,1,0,"Jharkhand, Deoghar"
16085,0.84054728184,2024,"Uttar Pradesh","Bareilly","Moderately worried","Moderately worried","Very worried","Not very worried","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Not at all worried","Very worried","Rural","Male","45+","Other Castes",0,0,1,0,0,1,1,0,1,0,1,"Uttar Pradesh, Bareilly"
16086,0.94061243444,2024,"Rajasthan","Alwar","Not at all worried","Very worried","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Not very worried","Very worried","Moderately worried","Very worried","Moderately worried","Rural","Female","18-29","Other Castes",0,1,0,0,0,0,0,1,0,1,0,"Rajasthan, Alwar"
16087,0.93060591918,2024,"West Bengal","Nadia","Very worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Rural","Female","30-44","Other Castes",1,1,1,1,0,0,1,1,1,1,0,"West Bengal, Nadia"
16089,0.86056031236,2024,"Haryana","Bhiwani","Moderately worried","Very worried","Very worried","Not very worried","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Not at all worried","Not very worried","Rural","Male","30-44","Other Castes",0,1,1,0,1,0,1,1,0,0,0,"Haryana, Bhiwani"
16091,1.29084046854,2024,"West Bengal","Coochbehar","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Other Castes",0,1,1,1,1,1,1,1,1,1,1,"West Bengal, Coochbehar"
16092,1.1507492549,2024,"Kerala","Thrissur","Not at all worried","Moderately worried","Not at all worried","Moderately worried","Not very worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Urban","Female","45+","Other Castes",0,0,0,0,0,0,0,0,0,0,0,"Kerala, Thrissur"
16093,0.86056031236,2024,"Karnataka","Bellary","Not at all worried","Moderately worried","Not at all worried","Very worried","Moderately worried","Not at all worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Not at all worried","Rural","Female","30-44","Other Castes",0,0,0,1,0,0,0,0,0,1,0,"Karnataka, Bellary"
16094,0.78050819028,2024,"Chattisgarh","Koriya","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Very worried","Moderately worried","Moderately worried","Rural","Male","45+","Other Castes",0,0,0,0,0,0,0,1,1,0,0,"Chattisgarh, Koriya"
16095,0.92059940392,2024,"West Bengal","Pashchim Medinipur","Moderately worried","Moderately worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Rural","Female","30-44","Other Castes",0,0,1,0,1,1,1,0,0,0,1,"West Bengal, Pashchim Medinipur"
16096,1.23080137698,2024,"Madhya Pradesh","Jabalpur","Very worried","Very worried","Very worried","Very worried","Not very worried","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Urban","Male","45+","Other Castes",1,1,1,1,0,0,1,1,0,1,1,"Madhya Pradesh, Jabalpur"
16098,1.2508144075,2024,"Karnataka","Uttara Kannada","Don't know","Very worried","Not at all worried","Not at all worried","Not very worried","Not at all worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Not very worried","Rural","Female","30-44","Scheduled Castes/Tribes",0,1,0,0,0,0,1,0,0,0,0,"Karnataka, Uttara Kannada"
16099,0.68044303768,2024,"Haryana","Karnal","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Not at all worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Rural","Male","45+","Other Castes",0,0,0,0,0,0,0,1,0,0,0,"Haryana, Karnal"
16100,1.01065804126,2024,"Haryana","Panipat","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Female","45+","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Haryana, Panipat"
16101,0.97063198022,2024,"Tamil Nadu","Tirupur","Not at all worried","Very worried","Not at all worried","Very worried","Very worried","Not at all worried","Moderately worried","Very worried","Not at all worried","Moderately worried","Moderately worried","Rural","Male","30-44","Other Castes",0,1,0,1,1,0,0,1,0,0,0,"Tamil Nadu, Tirupur"
16102,0.82053425132,2024,"Bihar","Katihar","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","18-29","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Bihar, Katihar"
16103,0.93060591918,2024,"West Bengal","South 24-Parganas","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Female","18-29","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"West Bengal, South 24-Parganas"
16104,0.66043000716,2024,"Maharashtra","Chandrapur","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Not very worried","Not very worried","Urban","Female","30-44","Other Castes",0,0,0,0,0,0,1,1,1,0,0,"Maharashtra, Chandrapur"
16105,1.17076228542,2024,"Chattisgarh","Baloda Bazar","Very worried","Very worried","Not at all worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Rural","Male","30-44","Scheduled Castes/Tribes",1,1,0,1,0,0,0,0,0,0,0,"Chattisgarh, Baloda Bazar"
16106,1.08070364808,2024,"Telangana","Hyderabad","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Not very worried","Moderately worried","Very worried","Urban","Female","30-44","Scheduled Castes/Tribes",0,1,1,1,0,1,1,1,0,0,1,"Telangana, Hyderabad"
16107,2.52164184552,2024,"Uttar Pradesh","Jalaun","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Urban","Male","18-29","Other Castes",0,1,0,0,0,0,0,0,0,0,0,"Uttar Pradesh, Jalaun"
16108,1.27082743802,2024,"Karnataka","Davanagere","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Female","18-29","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Karnataka, Davanagere"
16109,1.08070364808,2024,"West Bengal","Burdwan","Moderately worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Not at all worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Rural","Female","18-29","Scheduled Castes/Tribes",0,0,0,1,0,0,0,0,0,0,0,"West Bengal, Burdwan"
16110,1.02066455652,2024,"Kerala","Ernakulam","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Female","18-29","Other Castes",1,1,1,1,0,1,1,1,1,1,1,"Kerala, Ernakulam"
16111,0.500325763,2024,"Kerala","Kannur","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Not very worried","Moderately worried","Moderately worried","Moderately worried","Not very worried","Moderately worried","Not very worried","Rural","Female","45+","Other Castes",0,0,0,0,0,0,0,0,0,0,0,"Kerala, Kannur"
16112,1.12072970912,2024,"Telangana","Nirmal","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Rural","Female","30-44","Other Castes",1,0,1,1,1,1,1,1,1,1,0,"Telangana, Nirmal"
16113,1.21078834646,2024,"Tamil Nadu","Namakkal","Not at all worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Not at all worried","Rural","Male","30-44","Other Castes",0,0,0,1,0,0,0,0,0,0,0,"Tamil Nadu, Namakkal"
16114,2.01130956726,2024,"Punjab","Gurdaspur","Moderately worried","Very worried","Not at all worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Rural","Male","30-44","Other Castes",0,1,0,1,1,1,1,1,0,1,1,"Punjab, Gurdaspur"
16115,0.94061243444,2024,"Jharkhand","Koderma","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Rural","Male","18-29","Scheduled Castes/Tribes",1,0,1,1,1,1,1,1,1,1,0,"Jharkhand, Koderma"
16116,0.92059940392,2024,"Rajasthan","Pali","Not at all worried","Very worried","Very worried","Not at all worried","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Very worried","Very worried","Rural","Male","30-44","Other Castes",0,1,1,0,1,1,0,1,0,1,1,"Rajasthan, Pali"
16118,0.9005863734,2024,"Karnataka","Mysore","Don't know","Moderately worried","Not at all worried","Very worried","Not very worried","Not at all worried","Very worried","Very worried","Not at all worried","Moderately worried","Moderately worried","Rural","Male","18-29","Other Castes",0,0,0,1,0,0,1,1,0,0,0,"Karnataka, Mysore"
16119,1.24080789224,2024,"Maharashtra","Yavatmal","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Rural","Male","18-29","Other Castes",0,1,1,1,1,1,1,1,1,1,0,"Maharashtra, Yavatmal"
16120,1.000651526,2024,"Tamil Nadu","Thanjavur","Moderately worried","Don't know","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Don't know","Moderately worried","Moderately worried","Moderately worried","Rural","Female","30-44","Scheduled Castes/Tribes",0,0,0,0,0,0,0,0,0,0,0,"Tamil Nadu, Thanjavur"
16121,0.63041046138,2024,"Bihar","Paschim Champaran","Not at all worried","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Urban","Male","18-29","Other Castes",0,0,1,1,0,1,1,0,0,0,1,"Bihar, Paschim Champaran"
16122,0.73047561398,2024,"Andhra Pradesh","Visakhapatnam","Not at all worried","Not very worried","Not at all worried","Not at all worried","Not at all worried","Not very worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Moderately worried","Urban","Female","30-44","Scheduled Castes/Tribes",0,0,0,0,0,0,1,0,0,0,0,"Andhra Pradesh, Visakhapatnam"
16123,0.92059940392,2024,"Rajasthan","Churu","Very worried","Very worried","Not at all worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","18-29","Other Castes",1,1,0,1,1,1,0,1,1,1,1,"Rajasthan, Churu"
16124,0.39025409514,2024,"Karnataka","Dakshina Kannada","Not at all worried","Moderately worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not very worried","Not at all worried","Urban","Female","30-44","Other Castes",0,0,0,0,0,0,0,0,0,0,0,"Karnataka, Dakshina Kannada"
16125,0.6504234919,2024,"Bihar","Madhubani","Not very worried","Very worried","Moderately worried","Moderately worried","Very worried","Not at all worried","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Not at all worried","Rural","Male","30-44","Scheduled Castes/Tribes",0,1,0,0,1,0,0,0,0,0,0,"Bihar, Madhubani"
16126,1.69110107894,2024,"West Bengal","South 24-Parganas","Not very worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Not at all worried","Moderately worried","Moderately worried","Moderately worried","Rural","Female","18-29","Other Castes",0,0,0,0,0,0,0,0,0,0,0,"West Bengal, South 24-Parganas"
16127,0.97063198022,2024,"Andhra Pradesh","Vizianagaram","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Female","45+","Scheduled Castes/Tribes",0,1,1,0,1,1,1,1,1,1,1,"Andhra Pradesh, Vizianagaram"
16128,0.84054728184,2024,"Tamil Nadu","Tiruvannamalai","Very worried","Moderately worried","Very worried","Not at all worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Rural","Male","30-44","Other Castes",1,0,1,0,0,0,0,1,1,1,0,"Tamil Nadu, Tiruvannamalai"
16129,0.83054076658,2024,"West Bengal","Dakshin Dinajpur","Not very worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Urban","Female","18-29","Scheduled Castes/Tribes",0,0,0,0,0,0,0,0,0,0,0,"West Bengal, Dakshin Dinajpur"
16130,0.64041697664,2024,"Kerala","Kannur","Moderately worried","Not very worried","Not very worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Rural","Female","18-29","Other Castes",0,0,0,0,1,0,0,0,0,0,0,"Kerala, Kannur"
16131,0.47030621722,2024,"West Bengal","Pashchim Medinipur","Very worried","Moderately worried","Not very worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Rural","Female","30-44","Other Castes",1,0,0,0,0,0,1,0,1,0,0,"West Bengal, Pashchim Medinipur"
16132,1.06069061756,2024,"Chattisgarh","Raipur","Very worried","Not at all worried","Very worried","Very worried","Not at all worried","Not at all worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Rural","Female","30-44","Scheduled Castes/Tribes",1,0,1,1,0,0,1,1,1,1,0,"Chattisgarh, Raipur"
16133,0.91059288866,2024,"Karnataka","Chitradurga","Not very worried","Moderately worried","Moderately worried","Not at all worried","Not very worried","Not at all worried","Very worried","Very worried","Not at all worried","Moderately worried","Moderately worried","Rural","Female","18-29","Other Castes",0,0,0,0,0,0,1,1,0,0,0,"Karnataka, Chitradurga"
16134,1.07069713282,2024,"Maharashtra","Pune","Not at all worried","Refused","Not at all worried","Moderately worried","Not at all worried","Refused","Refused","Don't know","Not at all worried","Not at all worried","Not at all worried","Rural","Male","18-29","Other Castes",0,0,0,0,0,0,0,0,0,0,0,"Maharashtra, Pune"
16136,0.4502931867,2024,"West Bengal","Uttar Dinajpur","Moderately worried","Moderately worried","Very worried","Very worried","Moderately worried","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Very worried","Moderately worried","Urban","Female","30-44","Other Castes",0,0,1,1,0,0,0,0,0,1,0,"West Bengal, Uttar Dinajpur"
16137,0.76049515976,2024,"Karnataka","Chitradurga","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Female","30-44","Scheduled Castes/Tribes",1,1,1,1,1,1,1,1,1,1,1,"Karnataka, Chitradurga"
16138,0.39025409514,2024,"Bihar","Purvi Champaran","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Urban","Male","30-44","Other Castes",0,1,1,1,1,1,1,1,1,0,1,"Bihar, Purvi Champaran"
16139,1.56101638056,2024,"Maharashtra","Jalgaon","Not at all worried","Moderately worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Moderately worried","Refused","Not at all worried","Not at all worried","Moderately worried","Rural","Male","45+","Other Castes",0,0,1,0,0,0,0,0,0,0,0,"Maharashtra, Jalgaon"
16140,1.22079486172,2024,"Tamil Nadu","Cuddalore","Very worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Very worried","Rural","Male","30-44","Other Castes",1,1,1,1,0,0,0,1,0,0,1,"Tamil Nadu, Cuddalore"
16141,1.6010424416,2024,"Bihar","Bhagalpur","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Very worried","Moderately worried","Very worried","Moderately worried","Very worried","Rural","Male","30-44","Other Castes",1,1,0,0,1,0,1,0,1,0,1,"Bihar, Bhagalpur"
16142,0.68044303768,2024,"Gujarat","Rajkot","Very worried","Very worried","Not at all worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Rural","Male","45+","Other Castes",1,1,0,1,1,0,1,1,1,0,1,"Gujarat, Rajkot"
16143,1.3008469838,2024,"Andhra Pradesh","East Godavari","Moderately worried","Very worried","Not at all worried","Not at all worried","Not very worried","Not very worried","Not at all worried","Very worried","Moderately worried","Not very worried","Moderately worried","Rural","Male","18-29","Other Castes",0,1,0,0,0,0,0,1,0,0,0,"Andhra Pradesh, East Godavari"
16144,1.03067107178,2024,"Gujarat","Sabarkantha","Very worried","Moderately worried","Moderately worried","Moderately worried","Not very worried","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Rural","Female","18-29","Other Castes",1,0,0,0,0,1,1,0,1,0,0,"Gujarat, Sabarkantha"
16145,0.84054728184,2024,"Maharashtra","Ahmednagar","Moderately worried","Very worried","Moderately worried","Very worried","Very worried","Not at all worried","Very worried","Very worried","Not at all worried","Very worried","Very worried","Rural","Male","45+","Other Castes",0,1,0,1,1,0,1,1,0,1,1,"Maharashtra, Ahmednagar"
16146,0.51033227826,2024,"Punjab","Hoshiarpur","Not at all worried","Not at all worried","Not very worried","Moderately worried","Not at all worried","Moderately worried","Not very worried","Very worried","Not very worried","Moderately worried","Not at all worried","Urban","Female","30-44","Other Castes",0,0,0,0,0,0,0,1,0,0,0,"Punjab, Hoshiarpur"
16147,2.84185033384,2024,"Madhya Pradesh","Chhatarpur","Moderately worried","Very worried","Moderately worried","Very worried","Moderately worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Very worried","Don't know","Urban","Male","18-29","Other Castes",0,1,0,1,0,0,0,0,0,1,0,"Madhya Pradesh, Chhatarpur"
16148,0.4002606104,2024,"Uttar Pradesh","Ghaziabad","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Don't know","Moderately worried","Not very worried","Very worried","Urban","Male","30-44","Other Castes",0,1,1,1,0,0,1,0,0,0,1,"Uttar Pradesh, Ghaziabad"
16149,1.27082743802,2024,"Maharashtra","Satara","Not at all worried","Very worried","Not very worried","Very worried","Very worried","Not very worried","Very worried","Very worried","Not very worried","Very worried","Very worried","Urban","Male","30-44","Other Castes",0,1,0,1,1,0,1,1,0,1,1,"Maharashtra, Satara"
16150,0.56036485456,2024,"Haryana","Kurukshetra","Not at all worried","Very worried","Moderately worried","Not at all worried","Moderately worried","Moderately worried","Very worried","Very worried","Not at all worried","Not at all worried","Very worried","Urban","Male","30-44","Scheduled Castes/Tribes",0,1,0,0,0,0,1,1,0,0,1,"Haryana, Kurukshetra"
16151,1.33086652958,2024,"Andhra Pradesh","Guntur","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not very worried","Not at all worried","Urban","Female","30-44","Other Castes",0,0,0,0,1,0,0,0,0,0,0,"Andhra Pradesh, Guntur"
16152,0.91059288866,2024,"Rajasthan","Ganganagar","Moderately worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","18-29","Other Castes",0,1,1,1,1,0,1,1,1,1,1,"Rajasthan, Ganganagar"
16153,0.99064501074,2024,"Karnataka","Bangalore Urban","Not at all worried","Moderately worried","Moderately worried","Moderately worried","Not at all worried","Not at all worried","Not at all worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Rural","Female","30-44","Other Castes",0,0,0,0,0,0,0,1,0,0,0,"Karnataka, Bangalore Urban"
16155,0.74048212924,2024,"Andhra Pradesh","Eluru","Very worried","Not at all worried","Very worried","Not at all worried","Not at all worried","Very worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Very worried","Rural","Male","30-44","Other Castes",1,0,1,0,0,1,1,0,0,0,1,"Andhra Pradesh, Eluru"
16156,0.44028667144,2024,"Haryana","Mahendragarh","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Haryana, Mahendragarh"
16157,0.8005212208,2024,"Rajasthan","Jaisalmer","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Not at all worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Rural","Male","30-44","Other Castes",0,1,1,1,0,0,1,1,0,1,1,"Rajasthan, Jaisalmer"
16159,1.67108804842,2024,"West Bengal","North 24-Parganas","Very worried","Moderately worried","Not at all worried","Not very worried","Very worried","Not at all worried","Moderately worried","Not very worried","Very worried","Not very worried","Not very worried","Rural","Female","18-29","Other Castes",1,0,0,0,1,0,0,0,1,0,0,"West Bengal, North 24-Parganas"
16160,0.71046258346,2024,"Madhya Pradesh","Singrauli","Very worried","Moderately worried","Not at all worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Rural","Male","30-44","Other Castes",1,0,0,1,1,0,1,1,1,1,0,"Madhya Pradesh, Singrauli"
16161,1.39090562114,2024,"Andhra Pradesh","West Godavari","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Very worried","Not at all worried","Not at all worried","Don't know","Not at all worried","Not at all worried","Not at all worried","Urban","Female","45+","Other Castes",0,0,0,0,1,0,0,0,0,0,0,"Andhra Pradesh, West Godavari"
16162,1.33086652958,2024,"Madhya Pradesh","Ashok Nagar","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Very worried","Rural","Male","45+","Other Castes",1,1,1,1,1,1,1,0,1,0,1,"Madhya Pradesh, Ashok Nagar"
16163,0.62040394612,2024,"Chattisgarh","Surguja","Very worried","Moderately worried","Not at all worried","Moderately worried","Moderately worried","Not very worried","Very worried","Not very worried","Moderately worried","Not at all worried","Very worried","Urban","Male","30-44","Other Castes",1,0,0,0,0,0,1,0,0,0,1,"Chattisgarh, Surguja"
16166,1.31085349906,2024,"West Bengal","Murshidabad","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Female","30-44","Other Castes",1,1,0,1,1,1,1,1,1,1,1,"West Bengal, Murshidabad"
16167,0.77050167502,2024,"Karnataka","Chikkamagaluru","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Rural","Male","30-44","Scheduled Castes/Tribes",0,0,0,0,0,0,0,0,0,0,0,"Karnataka, Chikkamagaluru"
16168,1.7011075942,2024,"Punjab","Patiala","Not at all worried","Moderately worried","Not at all worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Not at all worried","Very worried","Rural","Male","45+","Other Castes",0,0,0,1,1,1,1,1,0,0,1,"Punjab, Patiala"
16170,1.1507492549,2024,"Uttar Pradesh","Lakhimpur Kheri","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Very worried","Urban","Male","30-44","Other Castes",1,1,0,0,1,1,1,1,1,0,1,"Uttar Pradesh, Lakhimpur Kheri"
16171,1.66108153316,2024,"Chattisgarh","Raipur","Moderately worried","Don't know","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Very worried","Don't know","Not at all worried","Moderately worried","Very worried","Rural","Male","30-44","Other Castes",0,0,0,0,0,0,1,0,0,0,1,"Chattisgarh, Raipur"
